file,beads,fsc.med,fsc.low,fsc.high,size,fsc.corr,fsc.corr.high
751_caldata/2017-02-17_751_oligo_0.3um.evt,314,19568,17789.2,20530.8,0.3,19568,20530.8
751_caldata/2017-02-17_751_oligo_0.5um.evt,222,38592,37120.8,39231.2,0.5,38592,39231.2
751_caldata/2017-02-17_751_oligo_0.75um.evt,894,48560,48000,48960,0.75,48560,48960
751_caldata/2017-02-17_751_oligo_1um.evt,1824,53552,53120,53872,1,53552,53872
751_caldata/2017-02-17_751_oligo_1.83um.evt,419,57776,56743.2,58648.8,1.83,57776,58648.8
751_caldata/2017-02-17_751_oligo_3.1um.evt,136,57360,56498,57856,3.1,57360,57856
751_caldata/2017-02-17_751_oligo_5.7um.evt,17,62080,61702.4,62361.6,5.7,62080,62361.6
751_caldata/2017-02-18_751_coastal_0.3um.evt,1651,7136,5268,8544,0.3,19094.32381,20502.32381
751_caldata/2017-02-17_751_coastal_0.5um.evt,810,25552,24816,26160,0.5,37510.32381,38118.32381
751_caldata/2017-02-17_751_coastal_0.75um.evt,1195,36800,36429.6,37056,0.75,48758.32381,49014.32381
751_caldata/2017-02-17_751_coastal_1um.evt,505,41664,41209.6,41878.4,1,53622.32381,53836.72381
751_caldata/2017-02-18_751_coastal_1.83um.evt,603,45696,44228,46720,1.83,57654.32381,58678.32381
751_caldata/2017-02-17_751_coastal_3.1um.evt,86,45808,44942,46472,3.1,57766.32381,58430.32381
751_caldata/2017-02-17_751_coastal_5.7um.evt,53,50816,50340.8,51260.8,5.7,62774.32381,63219.12381
