file,beads,fsc.med,fsc.low,fsc.high,d1.med,size,fsc.corr,fsc.corr.high
989_caldata/2017-02-28_989_oligo_0.3um.evt,1566,15504,13808,17184,4304,0.3,15504,17184
989_caldata/2017-02-28_989_oligo_0.5um.evt,1914,34624,33517.2,35472,16784,0.5,34624,35472
989_caldata/2017-02-28_989_oligo_0.75um.evt,3322,45840,44832,46480,24560,0.75,45840,46480
989_caldata/2017-02-28_989_oligo_1.0um.evt,2770,50528,49568,51088,28016,1,50528,51088
989_caldata/2017-02-28_989_oligo_1.83um.evt,1214,54960,53738.4,55978.8,35096,1.83,54960,55978.8
989_caldata/2017-02-28_989_oligo_3.1um.evt,937,54976,54304,55600,35920,3.1,54976,55600
989_caldata/2017-02-28_989_oligo_5.7um.evt,522,60416,59792.4,60832,42592,5.7,60416,60832
989_caldata/2017-03-01_989_coastal_0.3um.evt,6080,3632,2176,5600,1840,0.3,13862.93333,15830.93333
989_caldata/2017-03-01_989_coastal_0.5um.evt,4549,23872,22832,24800,14224,0.5,34102.93333,35030.93333
989_caldata/2017-03-01_989_coastal_0.75um.evt,3818,35536,34464,36272,22448,0.75,45766.93333,46502.93333
989_caldata/2017-02-28_989_coastal_1.0um.evt,2456,40544,39520,41184,25408,1,50774.93333,51414.93333
989_caldata/2017-03-01_989_coastal_1.83um.evt,2404,45136,43761.2,46336,33424,1.83,55366.93333,56566.93333
989_caldata/2017-02-28_989_coastal_3.1um.evt,921,45152,44512,45808,34464,3.1,55382.93333,56038.93333
989_caldata/2017-02-28_989_coastal_5.7um.evt,468,51088,50448,51520,39424,5.7,61318.93333,61750.93333
